,Brute Force,,,,Approximation Algorithm,,,,Local search,,,,,
Dataset,Time(s),Sol.Quality,Full Tour,RelError,Time(s),Sol.Quality,Full Tour,RelError,Time(s),Sol.Quality,Full Tour,RelError,Best Result,Algorithm of Best Result
Atlanta.tsp,300,3630534,No,0.811857989,0.0004,2314410,Yes,0.155031808,224.12,2018144,Yes,0.007176996,2003763,LS
Berlin.tsp,300,19438,No,0.900655129,0.0038,10227,Yes,0,300,27163,No,1.656008605,10227,Approx.
Boston.tsp,300,2227323,No,1.463275205,0.002,1142864,Yes,0.263933679,300,924316,No,0.022233724,904212,LS
Champaign.tsp,300,215798,No,2.344201832,0.004,64529,Yes,0,300,111641,No,0.730090347,64529,Approx.
Cincinnati.tsp,26.4,277952,Yes,0,0.0001,308737,Yes,0.110756534,129.16,278231,Yes,0.00100377,277952,BF/LS
Denver.tsp,300,547974,No,2.986019175,0.012,137474,Yes,0,300,344123,No,1.503186057,137474,Approx.
NYC.tsp,300,7210976,No,3.478736335,0.0074,2011514,Yes,0.249351106,300,1649493,No,0.024499906,1610047,LS
Philadelphia.tsp,300,3624919,No,1.59668219,0.0011,1648282,Yes,0.180733835,300,1428536,No,0.023320518,1395981,LS
Roanoke.tsp,300,6849948,No,7.097401246,0.199,845944,Yes,0,300,3099697,No,2.664186991,845944,Approx.
SanFrancisca.tsp,300,5600573,No,4.27998797,0.019,1153336,Yes,0.087317352,300,1234379,No,0.163721332,1060717,LS
Toronto.tsp,300,9179267,No,4.512232368,0.025,1754373,Yes,0.053516761,300,1724000,No,0.035277501,1665254,LS
UKansasState.tsp,25.8,62962,Yes,0,0.0001,68006,Yes,0.080111813,127.89,63015,Yes,0.000841778,62962,BF/LS
Umissouri.tsp,300,662935,No,2.98829864,0.023,166220,Yes,0,300,555361,No,2.341120202,166220,Approx.
